Geneid,EP72N,EP18N,81n,69n,67n,35n
hsa-miR-12136,115,802,1755,1214,435,285
hsa-miR-200b-3p,5,0,66,11,36,37
hsa-miR-200a-3p,0,0,25,8,0,1
hsa-miR-429,0,0,9,0,4,10
hsa-miR-551a,0,0,24,16,10,3
hsa-miR-34a-5p,1,1,33,22,4,13
hsa-miR-1976,0,0,0,19,2,2
hsa-miR-3605-5p,2,0,5,13,0,3
hsa-miR-3605-3p,0,0,0,19,1,1
hsa-miR-30e-5p,93,63,8256,3162,1298,4995
hsa-miR-30e-3p,0,0,53,13,17,47
hsa-miR-30c-5p,34,198,3989,1346,1392,2165
hsa-miR-101-3p,104,110,3765,1770,452,2065
hsa-miR-1262,0,1,8,0,3,3
hsa-miR-186-5p,85,28,1533,227,407,365
hsa-miR-197-3p,42,19,3374,1207,739,2100
hsa-miR-320b,10,16,52,54,54,46
hsa-miR-942-5p,0,0,108,46,20,47
hsa-miR-190b-5p,4,0,12,12,10,14
hsa-miR-92b-3p,0,0,24,30,2,11
hsa-miR-9-5p,3,18,27,18,0,21
hsa-miR-9-3p,0,39,18,0,0,12
hsa-miR-556-3p,0,4,17,4,0,6
hsa-miR-1255b-5p,4,0,18,0,0,0
hsa-miR-199a-5p,4,2,192,4,274,12
hsa-miR-199a-3p,132,34,4085,3942,1202,2136
hsa-miR-1843,0,0,0,14,5,0
hsa-miR-181b-5p,20,24,799,144,167,334
hsa-miR-181a-5p,542,162,10024,4832,1790,4840
hsa-miR-181a-3p,1,0,58,22,29,35
hsa-miR-29c-5p,0,0,56,27,28,20
hsa-miR-29c-3p,17,18,514,96,101,133
hsa-miR-29b-3p,4,0,296,32,38,58
hsa-miR-29b-2-5p,2,0,0,3,2,4
hsa-miR-205-5p,2,11,2,0,13,1
hsa-miR-194-5p,8,11,371,39,46,120
hsa-miR-664a-5p,11,8,55,30,29,29
hsa-miR-664a-3p,0,0,35,16,12,37
hsa-miR-1537-3p,2,0,0,0,5,9
hsa-miR-548q,0,0,11,0,3,1
hsa-miR-1296-5p,0,0,11,0,3,3
hsa-miR-4676-3p,0,0,25,0,0,6
hsa-miR-107,12,23,327,359,192,207
hsa-miR-146b-5p,2,0,269,24,16,122
hsa-miR-146b-3p,0,0,31,6,0,5
hsa-miR-1307-3p,3,7,140,42,61,108
hsa-miR-1307-5p,4,12,61,10,3,9
hsa-miR-548e-3p,1,1,71,19,18,25
hsa-miR-2110,6,2,48,66,69,51
hsa-miR-378c,1,0,37,19,5,32
hsa-miR-210-3p,0,0,0,9,4,0
hsa-miR-4687-5p,0,0,9,7,0,1
hsa-miR-4485-3p,0,12,5,13,0,2
hsa-miR-192-5p,10,2,212,8,42,73
hsa-miR-548k,3,0,16,5,14,16
hsa-miR-139-5p,0,0,3,0,12,3
hsa-miR-1304-5p,0,0,23,17,1,9
hsa-miR-548l,0,3,5,2,6,0
hsa-miR-1260b,0,0,5,5,6,2
hsa-miR-125b-5p,2,112,58,62,56,34
hsa-let-7a-5p,2039,2817,32536,14108,12138,18964
hsa-miR-100-5p,1,13,15,5,5,5
hsa-miR-200c-3p,3,6,164,45,75,108
hsa-miR-1291,3,2,5,12,15,6
hsa-miR-148b-5p,0,0,10,2,2,2
hsa-miR-148b-3p,531,24,5377,633,761,604
hsa-miR-616-5p,0,0,25,3,5,10
hsa-miR-26a-5p,288,628,12090,1969,4339,5829
hsa-miR-26a-2-3p,1,0,29,0,0,9
hsa-let-7i-5p,323,250,12745,2681,1644,4817
hsa-let-7i-3p,0,0,45,42,5,23
hsa-miR-10527-5p,0,0,20,0,2,2
hsa-miR-548c-5p,0,0,3,2,5,3
hsa-miR-6502-5p,0,0,82,9,17,19
hsa-miR-618,14,7,326,175,133,144
hsa-miR-331-5p,0,0,0,17,0,3
hsa-miR-331-3p,0,0,6,0,6,4
hsa-miR-619-5p,0,21,5,0,0,0
hsa-miR-320d,3,7,28,26,24,14
hsa-miR-3613-5p,20,11,1091,618,273,308
hsa-miR-3613-3p,0,0,54,19,6,13
hsa-miR-16-5p,1253,682,47570,13892,11549,19596
hsa-miR-15a-5p,7,0,662,275,144,234
hsa-miR-17-5p,2,0,43,24,20,43
hsa-miR-17-3p,0,0,3,3,2,10
hsa-miR-18a-5p,0,0,35,14,7,7
hsa-miR-18a-3p,0,0,41,30,15,7
hsa-miR-19a-3p,3,0,46,29,18,39
hsa-miR-20a-5p,12,1,273,98,138,300
hsa-miR-20a-3p,0,0,11,0,0,0
hsa-miR-19b-3p,29,6,1932,520,319,728
hsa-miR-92a-1-5p,0,0,0,14,0,1
hsa-miR-92a-3p,669,326,15317,9227,6333,9394
hsa-miR-4707-3p,0,0,15,2,0,17
hsa-miR-624-5p,0,0,21,7,11,6
hsa-miR-625-5p,1,0,23,14,4,11
hsa-miR-625-3p,0,0,2,5,3,10
hsa-miR-3173-5p,2,0,17,16,5,15
hsa-miR-151b,0,20,17,8,25,0
hsa-miR-342-5p,9,13,35,5,8,15
hsa-miR-342-3p,13,4,387,64,42,190
hsa-miR-345-5p,0,0,80,74,30,42
hsa-miR-493-5p,0,0,15,1,6,3
hsa-miR-493-3p,0,15,1,0,0,0
hsa-miR-136-3p,0,0,9,0,5,0
hsa-miR-379-5p,0,0,12,0,0,1
hsa-miR-323a-3p,0,0,10,0,0,1
hsa-miR-543,0,18,8,0,3,0
hsa-miR-495-3p,2,0,6,0,6,0
hsa-miR-382-5p,1,0,8,1,1,0
hsa-miR-409-3p,1,0,6,1,16,0
hsa-miR-369-3p,1,0,15,0,9,5
hsa-miR-203a-3p,0,0,0,0,37,0
hsa-miR-5701,0,0,30,0,0,0
hsa-miR-4508,1,0,8,6,4,0
hsa-miR-627-5p,0,0,12,0,0,0
hsa-miR-627-3p,0,0,13,4,0,0
hsa-miR-628-5p,0,0,20,2,17,5
hsa-miR-628-3p,0,0,30,23,22,22
hsa-miR-4512,0,0,3,2,2,5
hsa-miR-629-5p,13,1,182,109,62,81
hsa-miR-629-3p,0,0,33,33,6,5
hsa-miR-7-5p,60,96,2325,425,570,935
hsa-miR-3177-3p,0,0,7,6,0,0
hsa-miR-3178,2,24,24,0,3,0
hsa-miR-365a-3p,1,25,83,74,122,138
hsa-miR-6511a-3p,0,0,0,0,4,8
hsa-miR-1972,0,0,12,10,0,0
hsa-miR-484,31,32,1116,958,773,1044
hsa-miR-1273h-5p,0,0,7,15,10,4
hsa-miR-548w,0,0,36,2,2,4
hsa-miR-328-3p,2,0,63,112,48,43
hsa-miR-140-5p,1,0,94,65,35,56
hsa-miR-140-3p,151,210,7170,1885,1704,3656
hsa-miR-22-5p,7,10,53,47,45,99
hsa-miR-22-3p,8,12,365,229,147,200
hsa-miR-132-5p,0,0,13,7,0,5
hsa-miR-132-3p,5,9,88,11,28,37
hsa-miR-212-5p,0,0,1,3,5,4
hsa-miR-324-5p,0,0,28,8,10,30
hsa-miR-744-5p,0,0,98,111,51,68
hsa-miR-451a,372,327,16558,12342,11251,4197
hsa-miR-144-5p,0,0,35,29,40,15
hsa-miR-144-3p,0,0,31,7,20,1
hsa-miR-423-5p,635,883,2261,1278,1409,1270
hsa-miR-423-3p,68,81,1774,1061,992,1490
hsa-miR-193a-5p,6,15,231,95,83,210
hsa-miR-365b-3p,1,25,83,74,122,138
hsa-miR-152-3p,0,0,8,0,12,5
hsa-miR-10a-5p,4,0,121,22,22,43
hsa-miR-3614-5p,0,0,35,12,17,42
hsa-miR-3614-3p,0,0,62,25,8,29
hsa-miR-142-5p,38,25,3696,343,334,1319
hsa-miR-142-3p,1,2,45,11,15,37
hsa-miR-454-5p,4,0,23,3,9,12
hsa-miR-454-3p,1,0,52,10,20,38
hsa-miR-301a-5p,0,0,13,1,0,10
hsa-miR-21-5p,859,432,58131,16391,13110,21561
hsa-miR-21-3p,0,0,82,22,6,51
hsa-miR-548d-5p,2,0,50,0,28,10
hsa-miR-548aa,0,0,20,0,4,4
hsa-miR-3615,7,11,175,189,179,152
hsa-miR-338-5p,9,2,571,635,315,452
hsa-miR-338-3p,2,0,118,16,8,18
hsa-miR-1250-5p,2,0,24,9,14,6
hsa-miR-320c,4,12,26,26,17,26
hsa-miR-1-3p,2,0,46,0,14,0
hsa-miR-10395-5p,0,0,0,14,2,1
hsa-miR-24-3p,68,132,4680,6364,1868,3950
hsa-miR-24-2-5p,1,0,47,19,3,19
hsa-miR-27a-5p,0,0,33,10,4,46
hsa-miR-27a-3p,127,129,14112,5564,2581,6038
hsa-miR-23a-5p,3,4,11,33,16,17
hsa-miR-23a-3p,953,568,20897,10945,12075,10511
hsa-miR-181c-5p,2,14,55,15,6,34
hsa-miR-181c-3p,2,0,2,0,1,13
hsa-miR-181d-5p,0,0,32,0,0,7
hsa-miR-1270,2,0,12,0,2,4
hsa-miR-330-5p,1,0,9,1,2,3
hsa-miR-330-3p,2,0,27,5,4,16
hsa-miR-642a-5p,0,0,4,0,2,14
hsa-miR-769-5p,3,0,197,76,51,150
hsa-miR-769-3p,0,0,2,5,0,4
hsa-miR-150-5p,10,4,472,240,29,182
hsa-miR-150-3p,0,0,9,0,0,2
hsa-miR-99b-5p,6,30,240,11,72,54
hsa-miR-99b-3p,2,0,14,4,12,2
hsa-let-7e-5p,5,5,32,4,31,14
hsa-miR-125a-5p,6,12,128,37,35,87
hsa-miR-125a-3p,2,4,9,0,5,1
hsa-miR-371b-5p,0,0,40,0,8,12
hsa-miR-1301-3p,8,6,69,39,26,103
hsa-miR-548ad-5p,0,0,19,3,5,3
hsa-miR-4433b-5p,0,0,11,7,32,0
hsa-miR-1285-3p,0,0,10,0,2,10
hsa-miR-4772-5p,0,0,7,12,3,2
hsa-miR-4772-3p,5,5,370,183,39,114
hsa-miR-128-3p,26,71,2006,1239,627,1207
hsa-miR-4773,0,0,0,8,0,4
hsa-miR-10b-5p,0,0,19,0,3,0
hsa-miR-1246,0,7,27,0,6,2
hsa-miR-4444,0,14,6,0,0,0
hsa-miR-2355-5p,0,0,9,15,10,4
hsa-miR-2355-3p,1,0,56,62,30,16
hsa-miR-26b-5p,51,67,2717,493,691,1344
hsa-miR-26b-3p,0,0,42,27,16,33
hsa-miR-1292-5p,0,0,12,4,2,1
hsa-miR-103a-2-5p,0,0,21,0,0,1
hsa-miR-103a-3p,124,222,2987,2627,2729,3249
hsa-miR-4755-5p,0,0,15,0,1,0
hsa-miR-499a-5p,0,0,18,5,0,0
hsa-miR-548o-3p,0,0,64,12,6,24
hsa-miR-548o-5p,0,0,3,2,5,3
hsa-miR-296-5p,1,0,0,0,5,5
hsa-miR-4326,0,0,9,7,0,3
hsa-miR-941,10,70,1710,275,255,560
hsa-miR-6813-3p,0,0,7,0,0,5
hsa-miR-99a-5p,2,24,67,60,35,46
hsa-let-7c-5p,13,118,126,63,48,47
hsa-miR-155-5p,2,7,138,46,20,50
hsa-miR-6501-5p,0,0,9,0,4,0
hsa-miR-185-5p,23,25,515,268,341,277
hsa-miR-185-3p,0,0,20,7,22,10
hsa-miR-1306-3p,0,0,27,0,0,5
hsa-miR-1306-5p,0,0,6,0,7,7
hsa-miR-130b-5p,2,18,64,101,144,109
hsa-miR-130b-3p,1,15,39,8,47,31
hsa-miR-548j-5p,0,0,2,0,7,7
hsa-miR-3928-3p,0,0,9,0,3,3
hsa-miR-3909,1,0,26,10,12,24
hsa-miR-1249-3p,1,0,36,26,20,19
hsa-let-7a-3p,12,0,286,20,56,54
hsa-let-7b-5p,2592,2987,10171,4455,4759,5253
hsa-let-7b-3p,0,0,3,5,1,9
hsa-miR-6821-5p,4,16,16,4,0,0
hsa-miR-548ay-5p,1,0,25,0,10,5
hsa-miR-548ay-3p,0,0,17,0,1,2
hsa-miR-4443,0,0,8,7,4,5
hsa-miR-2115-5p,0,0,23,15,2,16
hsa-miR-2115-3p,0,0,14,9,4,5
hsa-miR-425-5p,164,102,2991,1110,1324,1581
hsa-miR-425-3p,15,0,348,70,78,121
hsa-miR-191-5p,147,194,5328,1822,2124,3151
hsa-miR-191-3p,2,0,5,9,3,12
hsa-let-7g-5p,135,175,3212,935,770,1882
hsa-miR-1284,0,0,4,7,2,1
hsa-miR-7976,1,0,17,14,0,5
hsa-miR-15b-5p,207,104,13087,7122,4581,7119
hsa-miR-15b-3p,7,0,187,33,32,42
hsa-miR-16-2-3p,28,41,1664,593,324,573
hsa-miR-28-5p,9,5,245,86,67,116
hsa-miR-28-3p,3,38,305,56,87,133
hsa-miR-378d,0,0,12,6,0,8
hsa-miR-95-3p,0,0,7,0,4,1
hsa-miR-574-5p,9,0,127,87,47,30
hsa-miR-574-3p,4,0,134,160,66,105
hsa-miR-548ah-3p,0,0,12,0,0,3
hsa-miR-576-5p,0,0,68,35,28,24
hsa-miR-576-3p,2,0,18,2,13,9
hsa-miR-3140-3p,0,0,4,9,15,3
hsa-miR-4454,0,0,1,0,3,13
hsa-miR-548t-3p,0,0,10,0,2,2
hsa-miR-548ae-5p,0,0,19,0,5,2
hsa-miR-582-5p,5,21,502,106,281,226
hsa-miR-582-3p,4,0,81,41,38,44
hsa-miR-2277-5p,0,0,6,3,0,3
hsa-miR-548p,0,0,14,0,0,3
hsa-miR-874-3p,0,0,20,2,1,1
hsa-miR-584-5p,2,0,20,8,54,16
hsa-miR-143-5p,0,0,36,13,2,17
hsa-miR-143-3p,95,33,5180,1636,981,2721
hsa-miR-145-5p,13,21,1100,483,742,555
hsa-miR-145-3p,20,0,483,141,82,165
hsa-miR-378a-5p,1,0,44,25,12,27
hsa-miR-378a-3p,4,8,257,130,80,188
hsa-miR-1303,2,1,4,0,7,5
hsa-miR-146a-5p,18,1,190,43,117,44
hsa-miR-340-5p,13,27,645,644,408,279
hsa-miR-340-3p,2,1,15,10,21,9
hsa-miR-3143,0,0,11,3,1,3
hsa-miR-30a-5p,0,0,21,5,3,0
hsa-miR-339-5p,4,2,76,31,62,295
hsa-miR-339-3p,1,0,72,5,17,38
hsa-miR-589-5p,4,6,35,45,38,24
hsa-miR-148a-5p,4,2,64,32,37,57
hsa-miR-148a-3p,97,63,2786,1029,870,1982
hsa-miR-196b-5p,5,0,84,15,14,26
hsa-miR-550a-3p,0,0,39,0,6,27
hsa-miR-550a-3-5p,3,0,10,17,4,9
hsa-miR-550a-5p,6,0,98,50,22,60
