"miRNA","Gene name","miRTarBase experiments","found in miRTarBase"
"hsa-let-7a-5p","CDK6","Western blot[                                                                 1]Luciferase reporter assay[                                                                 1]CLASH[                                                                 2]","1"
"hsa-let-7a-5p","MYC","qRT-PCR[                                                                 3][                                                                 4]Western blot[                                                                 3][                                                                 5]TRAP[                                                                 6]","1"
"hsa-let-7a-5p","BCL2","qRT-PCR[                                                                 7]microarray[                                                                 7]","1"
"hsa-let-7a-5p","NKIRAS2","qRT-PCR[                                                                 8]Western blot[                                                                 8]Luciferase reporter assay[                                                                 8]ELISA[                                                                 8]","1"
"hsa-let-7a-5p","ITGB3","qRT-PCR[                                                                 9]Western blot[                                                                 9]Luciferase reporter assay[                                                                 9]","1"
"hsa-let-7a-5p","NF2","qRT-PCR[                                                                 10]microarray[                                                                 10]Reporter assay[                                                                 10]Western blot[                                                                 10]Other[                                                                 10]Luciferase reporter assay[                                                                 10]","1"
"hsa-let-7a-5p","NRAS","microarray[                                                                 11]Western blot[                                                                 12]Luciferase reporter assay[                                                                 11]","1"
"hsa-let-7a-5p","KRAS","qRT-PCR[                                                                 3]microarray[                                                                 11]Western blot[                                                                 3][                                                                 5]Luciferase reporter assay[                                                                 11]","1"
"hsa-let-7a-5p","PRDM1","qRT-PCR[                                                                 13]Western blot[                                                                 13]Luciferase reporter assay[                                                                 14][                                                                 13]Immunohistochemistry[                                                                 13]","1"
"hsa-let-7a-5p","TRIM71","Northern blot[                                                                 15]Reporter assay[                                                                 16]Immunoblot[                                                                 15]Luciferase reporter assay[                                                                 17][                                                                 16]PAR-CLIP[                                                                 18]","1"
"hsa-let-7a-5p","RAVER2","Western blot[                                                                 19]Luciferase reporter assay[                                                                 19]Immunoprecipitaion[                                                                 19]","1"
